"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Chitinophaga",60.11,68.52,0,0,0,0,58.06,64.55,57.91,59.32,61.76
"Filimonas",59.34,64.33,0,0,0,0,45.25,58.57,39.79,46.32,52.91
"Niastella",45.27,34.4,0,0,0,0,0,0,0,0,0
"Dinghuibacter",68.47,85.44,77.46,74.84,83.43,0,78.37,83.88,72.09,78.61,78.26
"Gracilimonas",19.66,28.29,25.55,25.59,24.78,0,0,0,0,0,0
"Gemmatimonas",66.17,73.3,0,0,68.96,0,62.2,74.96,65.96,65.33,68.09
"Fibrobacter",0,19.08,0,0,0,0,0,0,0,0,0
"Caldithrix",0,68.03,0,0,60.11,65.06,0,60.36,0,0,0
"Ca. Latescibacter",67.71,73.31,67.82,68.25,72.3,73.71,70.79,77.23,70.51,69.1,70.88
"Ignavibacterium",76.15,87.1,0,0,0,0,0,0,0,0,0
"Acidovorax",50.07,60.87,42.55,0,0,39.89,0,0,0,0,45.62
"Hydrogenophaga",0,53.57,0,0,0,0,0,0,0,71.6,60.77
"Comamonas",0,62.29,54.31,0,0,0,0,0,0,57.66,55.57
"Limnohabitans",0,72.87,63.26,0,57.88,57.22,0,0,0,0,0
"Polaromonas",63.94,71.69,0,0,0,0,54.2,0,53.95,57.29,56.96
"Ralstonia",0,0,0,0,0,0,0,0,0,0,0
"Limnobacter",0,0,0,0,0,0,0,0,0,0,0
"Lautropia",54.34,73.5,0,51.8,49.55,0,65.56,51.61,0,55.57,54.91
"Massilia",0,65.01,0,0,0,56.12,0,0,0,0,0
"Azoarcus",0,0,45.6,46.47,48.22,63.6,51.45,50.05,55.74,46.42,48.26
"Methyloversatilis",42.11,70,37.42,37.28,37.06,0,39.18,39.6,37.89,44.45,43.35
"Thauera",63.73,78.81,0,60.91,60.82,0,63.69,71.76,0,61.66,66.57
"Sulfuritalea",63.76,65.64,0,0,0,0,0,66.98,0,55.22,62.1
"Candidatus Accumulibacter",79.05,82.19,0,79.37,79.85,0,73.71,81.81,58.19,77.22,79.4
"Uliginosibacterium",55.9,60.4,0,0,0,0,0,0,43.09,50.47,54.84
"Zoogloea",61.92,79.05,0,0,0,0,55.97,0,52.07,57.03,59.3
"Propionivibrio",72.34,72.1,0,0,0,0,69.5,0,53.75,58.5,60.28
"Georgfuchsia",43.14,51.13,0,0,46.73,0,48.82,53.31,39.66,51.89,48.75
"Ferribacterium",0,73.13,0,0,0,50.04,0,0,0,0,0
"Nitrosomonas",70.95,77.33,0,71.2,71.76,75.95,74.67,74.47,81.42,78.41,82.35
"Gallionella",34.27,29.79,0,0,0,0,0,0,0,0,0
"Thiobacillus",83.01,82.28,0,0,69.71,70.51,0,82.72,0,0,77.59
"Ferritrophicum",76.55,70.62,0,0,0,62.33,0,0,0,0,0
"Deefgea",44.99,34.91,36.95,0,0,37.06,0,0,0,0,0
"Formivibrio",40.99,38.48,0,0,0,0,0,0,0,28.26,29.09
"Methylotenera",0,81.85,0,61.56,63.17,0,76.1,83.69,64.82,73.46,72.36
"Chitinivorax",0,54.84,0,0,0,0,0,0,0,0,38.07
"Mesorhizobium",0,59.63,0,0,0,0,59.33,53.95,0,0,0
"Pseudahrensia",73.86,77.42,0,0,0,0,63.14,63.15,74.01,66.38,71.81
"Oricola",0,0,67.74,64.4,65.79,63.17,68.75,64.56,68,68.74,68.33
"Ahrensia",49.2,62.75,61.63,55.21,61.29,41.65,58.07,66.4,69.81,67.7,71.81
"Cohaesibacter",85.04,89.19,59.8,75.82,67.26,82.49,80.98,85.38,73.67,87.4,78.93
"Bosea",72.17,59.08,0,42.22,54.47,0,45.91,58.87,0,43.75,54.09
"Rhizobium",63.66,66.05,0,0,68.52,0,54.47,72.04,53.55,55.43,59.21
"Hyphomicrobium",0,74.22,0,0,76.3,79.08,0,0,0,0,0
"Devosia",0,61.62,0,0,0,50.16,0,0,0,0,0
"Pedomicrobium",0,68.03,0,0,0,67.47,0,0,0,0,0
"Filomicrobium",79.41,84.11,67.2,66.79,69.4,71.2,77.52,75.14,74.34,83.1,77.73
"Pseudolabrys",0,0,0,0,0,0,0,0,0,0,0
"Variibacter",0,84,0,0,80.06,0,0,78.12,0,78.74,79.86
"Afifella",69.01,85.3,78.18,76.63,80.01,65.96,77.77,77.83,70.26,83.95,76.52
"Anderseniella",60.59,77.6,63.9,70.63,71.15,55.83,67.37,69.95,65.09,71.09,80.3
"Methyloceanibacter",43.88,65.06,0,0,0,0,48.68,0,0,53.82,62.34
"Rhizomicrobium",67.75,69.6,0,63.5,60.9,0,64.51,73.17,58.33,68.2,66.47
"Bauldia",0,0,84.38,0,0,79.89,0,0,0,0,0
"Nordella",58.01,69.89,0,71.13,67.94,0,58.67,69.88,65.56,58.04,62.04
"Rickettsia",0,19.81,0,0,0,0,0,0,0,0,17.63
"Paracoccus",69.93,76.57,0,56.63,59.57,54.53,61.04,61.68,55.81,60.75,58.6
"Sulfitobacter",59.61,71.68,46.46,52.8,54.92,50.44,63.46,59.01,59.01,68.35,67.33
"Loktanella",0,0,0,0,0,0,0,0,0,0,0
"Roseobacter clade NAC11-7 lineage",0,0,0,0,0,0,0,0,0,0,0
"Labrenzia",0,0,52.67,53.16,53.58,0,0,0,0,0,0
"Rhodobacter",76.21,82.79,0,74.95,78.81,0,71.38,80.97,67.14,77.48,80.04
"Pseudorhodobacter",0,69.28,0,61.16,0,0,0,0,0,69.03,77.84
"Aestuariivita",0,0,0,0,0,0,0,0,0,15.81,14.01
"Falsirhodobacter",0,0,0,0,0,55.21,0,0,0,0,0
"Oceaniovalibus",0,0,0,44.55,43.7,0,41.25,37.86,0,0,0
"Defluviimonas",0,76.06,0,0,0,63.98,0,0,79.04,0,0
"Roseovarius",64.98,73.55,64.15,64.31,62.88,0,0,56.96,76.25,64.54,73.23
"Sedimentitalea",0,0,62.63,66.39,73.81,54.32,54.75,61.53,35.87,43.25,64.9
"Halocynthiibacter",0,0,28.18,0,31.73,0,0,0,0,0,0
"Albimonas",0,0,0,0,0,0,0,0,0,47.36,0
"Albirhodobacter",66.13,77.05,0,57.37,0,0,0,82.78,0,57.47,64.56
"Ketogulonicigenium",0,0,75.28,65.3,68.4,58.13,63.52,0,60.74,63.06,60.85
"Roseobacter",47.4,58.81,58,61.93,61.4,50.1,54.08,56.31,56.4,62.21,58.48
"Palleronia",52.38,47.16,59.14,50.21,54.23,49.82,41.17,39.71,55.75,48.16,73.46
"Dinoroseobacter",0,54,45.2,0,0,47.94,0,0,40.33,0,0
"Sphingomonas",75.86,79.4,0,82.96,79.39,0,92.62,81.86,66.32,70.38,72.3
"Novosphingobium",93.77,81.51,0,0,0,0,0,84.34,0,81.08,77.15
"Sphingobium",70.31,73.11,0,0,0,0,63.46,66.63,58.14,66.11,65.5
"Sphingopyxis",89.8,80.07,0,0,0,0,0,83.01,0,74.81,73.23
"Zymomonas",56.33,66,0,0,0,0,49.93,58.07,48.32,63.24,61.6
"Sphingorhabdus",72.3,64.02,73.43,73.43,76.82,75.26,73.16,70.22,81.87,72.8,75.33
"Polymorphobacter",71.22,77.7,66.6,66.93,66.24,0,61.77,72.61,68.44,69.18,68.17
"Sphingomicrobium",61.79,66.63,65.93,67.11,74.5,59.96,63.25,65.29,69.48,72.25,67.56
"Parasphingopyxis",71.93,80.03,70.03,80.29,76.93,60.7,74.39,74,88.21,81.53,83.81
"Rhizorhapis",59.92,66.33,0,53.78,54.89,0,0,58.68,47.53,61.91,57.25
"Erythrobacter",0,73.42,63.25,71.26,68.86,0,0,0,0,65.8,63.37
"Altererythrobacter",0,0,62.68,0,0,64.22,0,0,64.03,66.81,0
"Tistlia",17.95,32.26,11.47,12.2,38.06,0,44.82,34.51,24.08,67.29,38.06
"Terasakiella",0,0,32.8,0,0,38.84,0,0,44.55,37.69,41.09
"Magnetospira",87.75,77.11,79.12,69.18,69.52,78.72,69.66,72.14,64.78,75.49,65.85
"Pelagibius",78.54,89.31,69.81,78.11,74.1,76.92,78.85,78.27,79.43,83.84,84.85
"Magnetovibrio",0,70.42,56.52,0,0,63.83,0,59.88,0,0,0
"Defluviicoccus",0,68.83,0,61.13,66.09,0,0,0,74.24,67.22,69.14
"Roseomonas",70.67,83.85,74.13,71.88,59.81,61.09,73.01,83.05,72.2,78.69,78.06
"Reyranella",68.78,81.08,67.57,82.31,80.4,0,68.3,82,80.76,74.39,75.23
"Candidatus Alysiosphaera",0,0,64.96,62.39,63.22,0,83.46,0,0,0,0
"Phenylobacterium",65.21,75.94,65.66,68.05,56.81,0,59.27,79.21,62.45,69.09,72.3
"Brevundimonas",87.11,70.86,0,0,0,58.64,0,70.18,0,0,57.99
"Caulobacter",65.29,64.81,0,0,0,0,0,65.64,48.41,60.06,55.6
"Hyphomonas",0,72.44,0,0,0,0,0,0,0,0,0
"Woodsholea",88.95,74.03,0,0,75.41,0,0,78.64,73.25,75.51,74.32
"Hirschia",78.2,82.73,0,84.05,85.42,0,70.5,86.41,78.35,79.44,77.56
"Emcibacter",51.9,0,58.9,57.43,62.18,57.37,51.14,60.37,48.85,45.23,48.65
"Pseudomonas",74.62,82.26,0,0,0,0,73.47,80.82,69.85,71.21,77.2
"Acinetobacter",81.92,89.94,0,78.83,0,0,79.42,79.32,0,78.56,84
"Psychrobacter",0,57.14,0,0,0,0,0,0,0,0,53.8
"Alkanindiges",71.12,82.08,0,0,0,0,0,0,0,0,63.43
"[Agitococcus] lubricus group",68.47,80.21,0,0,0,0,0,0,0,0,0
"Moritella",0,0,26.36,35.42,35.75,60.01,0,50.36,0,26.58,0
"Paramoritella",0,46.02,0,36.63,0,0,0,0,0,34.48,43.7
"Pseudoalteromonas",46.9,46.62,0,0,54.76,44.09,50.23,49.18,0,0,0
"Glaciecola",0,29.75,0,36.03,35.14,0,33.04,32.45,0,35.15,0
"Paraglaciecola",0,0,50.07,50.77,52.71,54.38,49.87,63.47,52.82,59.65,0
"Shewanella",0,0,0,0,0,0,0,0,0,0,0
"Psychrobium",61.45,32.1,0,37.93,47.48,13.22,71.46,29.69,12.39,23.44,28.58
"Thalassotalea",72,66.67,70.69,68.83,70.06,0,60.22,71.19,0,70.25,66.76
"Colwellia",65.68,0,0,0,0,0,0,0,0,0,0
"Psychromonas",0,0,0,0,0,0,0,0,0,0,0
"Thiothrix",0,0,0,70.22,71.88,0,76.82,66.81,68.74,69.77,68.1
"Leucothrix",0,51.42,0,0,0,0,0,0,0,0,0
"Beggiatoa",0,26.46,0,0,0,0,0,0,0,0,0
"Candidatus Isobeggiatoa",0,12.37,0,0,0,10.67,0,0,0,0,0
"Cocleimonas",0,47.92,0,0,0,0,44.37,0,0,78.34,41.71
"Thiomargarita",0,21.54,0,18.94,17.28,0,19.57,53.61,24.12,16.58,17.33
"Thiomicrospira",0,0,0,63.65,48,0,0,0,0,0,0
"endosymbionts",0,0,80.22,71.71,74.59,80.82,73.13,74.65,65.19,63.9,68.43
"Acidibacter",72.08,74.84,0,76.75,78.45,0,61.84,78.72,77.69,63.76,74.75
"Candidatus Competibacter",72.88,81.87,71.82,69.57,69.13,65.85,75.49,72.97,63.81,76.17,74.34
"Steroidobacter",65.15,64.56,0,57.62,67.72,0,55.34,64.19,49.12,62.65,60.08
"Stenotrophomonas",50.91,62.67,0,56.09,56.09,0,40.03,54.99,48.09,49.16,47.25
"Pseudoxanthomonas",63.13,78.11,60.73,57.27,56.53,57.1,61.15,76.25,60.45,68.09,70.38
"Aquimonas",0,0,35.63,36.72,38.57,49.35,43.24,40.22,0,37.25,0
"Arenimonas",82.33,86.67,79.83,82.18,78.82,0,71.63,86.81,65.97,81.42,78.77
"Luteibacter",0,0,0,0,0,0,0,0,0,0,0
"Dokdonella",68.47,73.63,0,55.54,56.15,0,62.45,72.88,57.12,68.06,70.06
"Arenicella",72.13,81.94,73.36,66.31,84.5,57.59,76,74.06,83.24,66.19,82.13
"Oleiphilus",0,0,0,0,0,67.53,0,0,0,0,0
