Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
EM10_S_Wi2015,19950,19949,3970,3969,2716.3730806995,6.8214664994,0.823200254,0.8627065779,0.9945120948,7396.4875369358,6731.4192708333
EM10_S_Wi2015RNA,58556,58556,2827,2827,1983.8954820042,6.9027039474,0.8685955488,0.9091096752,0.9972798297,2977.1019523262,3010.2411067194
EM10_S_Wi2016,71931,71930,7878,7877,2947.8722905823,7.173470887,0.7995549862,0.8979366023,0.9947128463,11749.9762376039,11161.8353658537
EM10_S_Wi2017,27673,27673,4501,4501,2764.3783256781,6.9704797825,0.8286298517,0.8796034179,0.9945089516,6763.5079298648,6556.2497069168
EM10_S_Wi2018,25274,25274,5091,5091,3024.6744363928,7.1354853724,0.8360039208,0.8903154376,0.9947071009,10060.4732361251,9919.3846153846
EN10_S_Wi2013_PS,108079,108079,7460,7460,2373.7958688969,6.2281228092,0.698430617,0.8013286174,0.9857227278,8606.1276285279,8258.1056105611
EN10_S_Wi2015,47240,47240,3904,3904,1591.086142752,5.1028124425,0.6170450323,0.6921721746,0.9590897132,6777.211897543,6347.9853917663
EN10_S_Wi2016,38536,38536,7635,7635,3464.0819185765,7.397521122,0.8274171016,0.9076487048,0.9964311348,14055.4940337539,12807.7887323944
EN10_S_Wi2017,14495,14494,3574,3573,2825.8000520973,6.8534956067,0.8376881116,0.8624495359,0.9966275581,9755.3666508087,9069.8078512397
EN10_S_Wi2017RNA,19762,19762,3833,3833,2557.8660212123,6.6206084424,0.8023615366,0.8437197248,0.9944735941,8167.2488766519,7348.8653001464
EN10_S_Wi2018,45342,45342,5303,5303,2193.6840844525,6.0209637508,0.7020690425,0.7826205001,0.9812760276,9716.698336617,8947.1691394659
EN15_S_Su2017,24384,24383,5083,5082,2981.4576432329,7.0361670268,0.8245195577,0.8795024526,0.9957146249,11291.3326127058,10522.7631578947
EN15_S_Su2018,18813,18813,4416,4416,2960.4944518579,6.8775725622,0.8194425229,0.8604374523,0.9947339575,11184.6811024311,10472.1320754717
EN15_S_Wi2013,12120,12120,1609,1609,1513.6536641639,6.0676627093,0.8218014582,0.8286573772,0.9918059096,2074.9111737908,2102.0107526882
EN15_S_Wi2015,24079,24077,4999,4997,2956.6621434956,6.4449013185,0.7567108707,0.8064376246,0.9720239389,9950.5414376604,9070.375
EN15_S_Wi2016,32642,32642,7368,7368,3521.1277331118,7.4253719559,0.8338522207,0.9092437006,0.9967967081,16425.0108204878,14862.8399034594
EN15_S_Wi2017,24907,24907,5786,5786,3297.5048218818,7.3037335733,0.8430760615,0.9015929498,0.99719505,13372.6129523586,12921.0627218935
EN15_S_Wi2017RNA,31210,31210,5736,5736,3009.7572276756,7.1970058163,0.8315895039,0.8985458211,0.9973458687,10720.4071493692,10364.3567010309
EN15_S_Wi2018,23704,23704,4614,4614,2689.0064343612,6.6697100689,0.7905450165,0.8445956291,0.9926783569,11057.2401537764,10617.6666666667
EN15_S_Wi2018RNA,28472,28472,5675,5675,3113.570239385,6.8480715359,0.7922500593,0.8513768841,0.9819548959,10522.4524908173,9486.0814880425
EN15_S_Wi2019A,49067,49066,10170,10169,3861.3073867707,7.7590963219,0.8408941427,0.9394988209,0.9979748219,19993.092795076,18323.1377440347
EN15_S_Wi2019B,64979,64979,11871,11871,3892.7742394963,7.8252603916,0.834084672,0.9465799547,0.9980391652,21269.6087087166,19254.1605562579
EN17_S_Su2017,23142,23142,5255,5255,3171.6051957385,7.2136510153,0.842034027,0.8947726595,0.996749157,11647.2967104525,11291.4089171975
EN17_S_Su2018,20979,20979,5766,5766,3597.5453546524,7.3205611615,0.845356366,0.8940589719,0.9963645309,13951.5809474463,12928.0033557047
EN17_S_Wi2013,59636,59636,10191,10191,3305.7981513219,7.0998647923,0.7692777747,0.8761551553,0.9911203611,21832.6007289348,20876.3925
EN17_S_Wi2013RNA,29318,29318,4977,4977,2583.9904457738,6.5727105544,0.7721170977,0.8365324076,0.9918238173,10625.2885799747,9665.8048780488
EN17_S_Wi2015,14612,14612,3737,3737,2941.5477577645,6.7069211218,0.8153282019,0.8397621717,0.9937187271,9505.1314314576,8483.0100840336
EN17_S_Wi2016,53648,53648,7010,7010,3313.1076674984,7.5239173236,0.8496711825,0.9282321396,0.99743944,8995.5079211754,8817.8102297999
EN17_S_Wi2017,14578,14578,4640,4640,3636.0568362449,7.313512255,0.8662764052,0.892038045,0.9971555927,12654.7868955149,11624.2394578313
EN17_S_Wi2017RNA,20603,20603,5682,5682,3702.4938589876,7.437922258,0.8603669026,0.9052133139,0.997153353,11201.2344181147,10241.470749543
